order.id,order.line,order.date,customer.id,product.id,quantity,bike.id,model,category1,category2,frame,price,total_sales,year,month
1,1,2011-01-07,2,48,1.0,48,Jekyll Carbon 2,Mountain,Over Mountain,Carbon,6070.0,6070.0,2011,2011-01
1,2,2011-01-07,2,52,1.0,52,Trigger Carbon 2,Mountain,Over Mountain,Carbon,5970.0,5970.0,2011,2011-01
2,1,2011-01-10,10,76,1.0,76,Beast of the East 1,Mountain,Trail,Aluminum,2770.0,2770.0,2011,2011-01
2,2,2011-01-10,10,52,1.0,52,Trigger Carbon 2,Mountain,Over Mountain,Carbon,5970.0,5970.0,2011,2011-01
3,1,2011-01-10,6,2,1.0,2,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,7890.0,7890.0,2011,2011-01
3,2,2011-01-10,6,50,1.0,50,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,3200.0,3200.0,2011,2011-01
3,3,2011-01-10,6,1,1.0,1,Supersix Evo Black Inc.,Road,Elite Road,Carbon,7890.0,7890.0,2011,2011-01
3,4,2011-01-10,6,4,1.0,4,Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,5330.0,5330.0,2011,2011-01
3,5,2011-01-10,6,34,1.0,34,Synapse Disc 105,Road,Endurance Road,Aluminum,1570.0,1570.0,2011,2011-01
4,1,2011-01-11,22,26,1.0,26,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,4800.0,4800.0,2011,2011-01
5,1,2011-01-11,8,96,1.0,96,Catalyst 3,Mountain,Sport,Aluminum,480.0,480.0,2011,2011-01
5,2,2011-01-11,8,66,1.0,66,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,7890.0,7890.0,2011,2011-01
5,3,2011-01-11,8,35,1.0,35,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,1250.0,1250.0,2011,2011-01
5,4,2011-01-11,8,72,1.0,72,F-Si 2,Mountain,Cross Country Race,Aluminum,2060.0,2060.0,2011,2011-01
6,1,2011-01-11,16,45,1.0,45,SuperX 105,Road,Cyclocross,Carbon,1960.0,1960.0,2011,2011-01
6,2,2011-01-11,16,39,1.0,39,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,4500.0,4500.0,2011,2011-01
6,3,2011-01-11,16,87,1.0,87,Habit 5,Mountain,Trail,Aluminum,2340.0,2340.0,2011,2011-01
6,4,2011-01-11,16,31,1.0,31,Synapse Carbon 105,Road,Endurance Road,Carbon,2240.0,2240.0,2011,2011-01
7,1,2011-01-12,9,2,1.0,2,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,7890.0,7890.0,2011,2011-01
7,2,2011-01-12,9,15,1.0,15,CAAD12 Ultegra,Road,Elite Road,Aluminum,2240.0,2240.0,2011,2011-01
7,3,2011-01-12,9,10,1.0,10,Supersix Evo Tiagra,Road,Elite Road,Carbon,1840.0,1840.0,2011,2011-01
7,4,2011-01-12,9,65,1.0,65,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,3200.0,3200.0,2011,2011-01
7,5,2011-01-12,9,87,1.0,87,Habit 5,Mountain,Trail,Aluminum,2340.0,2340.0,2011,2011-01
7,6,2011-01-12,9,55,1.0,55,Scalpel-Si Black Inc.,Mountain,Cross Country Race,Carbon,7890.0,7890.0,2011,2011-01
7,7,2011-01-12,9,7,1.0,7,Supersix Evo Ultegra 3,Road,Elite Road,Carbon,3200.0,3200.0,2011,2011-01
7,8,2011-01-12,9,67,1.0,67,F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon,7890.0,7890.0,2011,2011-01
7,9,2011-01-12,9,61,1.0,61,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,3200.0,3200.0,2011,2011-01
7,10,2011-01-12,9,18,1.0,18,CAAD8 105,Road,Elite Road,Aluminum,1410.0,1410.0,2011,2011-01
7,11,2011-01-12,9,96,1.0,96,Catalyst 3,Mountain,Sport,Aluminum,480.0,480.0,2011,2011-01
7,12,2011-01-12,9,42,1.0,42,Slice 105,Road,Triathalon,Carbon,1950.0,1950.0,2011,2011-01
7,13,2011-01-12,9,56,1.0,56,Scalpel-Si Race,Mountain,Cross Country Race,Carbon,7890.0,7890.0,2011,2011-01
7,14,2011-01-12,9,93,1.0,93,Trail 5,Mountain,Sport,Aluminum,815.0,815.0,2011,2011-01
8,1,2011-01-12,16,35,1.0,35,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,1250.0,1250.0,2011,2011-01
8,2,2011-01-12,16,96,1.0,96,Catalyst 3,Mountain,Sport,Aluminum,480.0,480.0,2011,2011-01
9,1,2011-01-17,25,29,1.0,29,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,2660.0,2660.0,2011,2011-01
9,2,2011-01-17,25,13,1.0,13,CAAD12 Red,Road,Elite Road,Aluminum,3200.0,3200.0,2011,2011-01
9,3,2011-01-17,25,18,1.0,18,CAAD8 105,Road,Elite Road,Aluminum,1410.0,1410.0,2011,2011-01
9,4,2011-01-17,25,16,1.0,16,CAAD12 Disc 105,Road,Elite Road,Aluminum,1950.0,1950.0,2011,2011-01
9,5,2011-01-17,25,36,1.0,36,Synapse Sora,Road,Endurance Road,Aluminum,1030.0,1030.0,2011,2011-01
